,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
32,Aft Skirt 2,0.32083333333333336,1.4967725498946876,17.381110424552812,26.01556897015905,0.001,8.14373741879823,0.06943578097854915,99.26664274664547,99.33607852762403,0.11319342408578577
33,Thrust Structure 2,0.16041666666666668,0.9702538265263181,17.300902091219477,16.786266456362878,0.0,8.063529085464895,0,63.08639020076169,63.08639020076169,0
34,Gimballs 2, ,0.05284261287635648,17.58169233543342,0.929062561792512,0.0,8.344319329678838,0,3.6793077510772787,3.6793077510772787,0
35,Engines 2,0.3609985775472779,25.83180430797633,17.289443757886144,446.61752774747777,0.0,8.052070752131561,0,1674.826818782493,1674.826818782493,0
36,Fuel 2,0.8348718269551083,72.45105418841655,19.065329408517744,1381.3032140965308,0.0,9.827956402763162,0,6997.955097823973,6997.955097823973,0
37,Oxidizer 2,1.1199536102631167,257.2012423688787,17.92346493033963,4609.937447638381,0.0,8.686091924585048,0,19405.368954113095,19405.368954113095,0
4,Nose Cone 1,,,,,,,,,,
5,Forward Skirt 1,0.9788768505873561,4.566719999022913,16.731255332592465,76.40695833610877,0.001,7.493882326837882,0.5373316494966704,256.45910535310475,256.9964370026014,0.3453581999261079
6,Avionics 1, ,0.84,16.731255332592465,14.05425447937767,0.0,7.493882326837882,0.031762500000000006,47.17294875593425,47.20471125593425,0.06352500000000001
7,Wiring 1,16.24181690729879,17.78015234588785,0,0,0.0,0,390.86200240121667,0.0,390.86200240121667,1.344624021157769
8,Pressurant Tank 1,0.5491282730400782,2.5577685708770237,16.653881043818824,42.59677351700443,0.001,7.416508038064242,0.3868624963451499,140.68901533807613,141.07587783442128,0.19343124817257495
9,SRM Dome Top 1,0.1375,8.523303953636809,16.300173719765816,138.93133511064678,0.001,7.062800714011233,0.2900586876722027,425.16928307596504,425.45934176363727,0.6445748614937837
10,Solid Propellant Casing 1,15.69181690729879,704.7660639905483,8.395908453649394,5917.151354503454,0.001,-0.8414645521051884,14488.044407861935,499.018486339638,14987.062894201572,53.29793358928523
11,SRM Dome Bottom 1,0.1375,8.523303953636809,0.6083568124670283,5.185210024922109,0.001,-8.629016193287555,0.2900586876722027,634.6445344784541,634.9345931661263,0.6445748614937837
12,Solid Propellant Residual 1, ,121.93589303741281,8.395908453649394,1023.7625951561025,0.0,0,0,0.0,0.0,0
13,Aft Skirt 1,0.55,2.5658957998194643,0.275,0.7056213449503528,0.001,-8.962373005754582,0.16170489155112253,206.10334751988208,206.2650524114332,0.194045869861347
14,Gimballs 1, ,3.146968795276433,0.275,0.8654164187010192,0.0,-8.962373005754582,0,252.7775302850251,252.7775302850251,0
15,Nozzle 1,0.275,0,0.06875,0.0,0.0,-9.168623005754583,0,0.0,0.0,0
16,Solid Propellant 1,15.69181690729879,3513.8641502227197,8.395908453649394,29502.081723830477,0.0,-0.8414645521051884,68800.45752863117,2488.0357597223583,71288.49328835354,0
