,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
44,Fuel 2,0.9180671504086846,200.47366612218642,9.833794870363631,1971.416909555348,0.0,4.18440458507902,0,3510.14188095951,3510.14188095951,0
45,Oxidizer 2,1.2396471180085888,711.6815147337618,8.48919661612425,6041.604306636031,0.0,2.8398063308396386,0,5739.355573205427,5739.355573205427,0
4,Forward Skirt 1,0.9307125199426941,8.455098351435808,6.786318177620848,57.37898763592089,0.0011899999999999999,1.136927892336237,1.4664140655328186,10.929102678267123,12.395516743799941,1.7121574161657513
5,Avionics 1, ,0.84,6.786318177620848,5.700507269201513,0.0,1.136927892336237,0.08505,1.085788227192579,1.170838227192579,0.1701
6,Wiring 1,6.320961917649501,9.104862376739383,0,0,0.0,0,30.315063846406083,0.0,30.315063846406083,0
7,Fuel Dome Top 1,0.225,2.4584787463983226,6.416454883504638,15.774717958319878,0.001,0.7670645982200268,0.22402887576554717,1.446539633179403,1.67056850894495,0.13192811572860003
8,Fuel Cylinder 1,1.970092657266377,16.84460460935948,5.335915589016313,89.88138832589729,0.00108,-0.3134746962682984,7.153714185584697,1.6552584050934687,8.808972590678165,3.411032433395295
9,Fuel Dome Bottom 1,0.225,2.4584787463983226,4.255376294527987,10.461752178024305,0.001,-1.3940139907566245,0.22402887576554717,4.777500301703443,5.00152917746899,0.13192811572860003
10,Fuel Insulation 1,2.4200926572663772,0.0,5.335915589016313,0.0,0.0,-0.3134746962682984,0,0.0,0.0,0
11,Fuel Residual 1, ,11.809118709712514,4.2383692603831244,50.05140573146075,0.0,-1.411021024901487,0,23.51172309772305,23.51172309772305,0
12,Intertank 1,0.675,7.781025998576495,4.013369260383124,31.228130556928807,0.00151,-1.6360210249014875,1.0832647132393214,20.826420248363828,21.909684961603148,1.5756577647117402
13,Ox Dome Top 1,0.225,2.4584787463983226,3.771362226238261,9.271813878176227,0.001,-1.8780280590463505,0.22402887576554717,8.671028455477416,8.895057331242963,0.13192811572860003
14,Ox Cylinder 1,2.7758692603831236,31.205975662407177,2.287934630191562,71.39723238693645,0.00142,-3.3614556550930494,23.19761252514228,352.60830588501676,375.80591841015905,6.319210071637453
15,Ox Dome Bottom 1,0.225,2.4584787463983226,0.8045070341448628,1.977863444773095,0.001,-4.844883251139748,0.22402887576554717,57.70761032014013,57.931639195905674,0.13192811572860003
16,Ox Insulation 1,3.225869260383124,10.786012601696768,2.287934630191562,24.67769175310462,0.0,-3.3614556550930494,5.370533049489318,121.87529952221222,127.24583257170154,1.4681741032582416
17,Ox Residual 1, ,41.922371419479425,0.7875000000000001,33.01386749284005,0.0,-4.861890285284611,0,990.9600575258517,990.9600575258517,0
18,Pressurant Tank 1,0.4498867542411125,1.7168013660650066,2.287934630191562,3.927929298580309,0.001,-3.3614556550930494,0.34765227662816384,19.398798094895653,19.746450371523817,0.2317681844187759
19,Aft Skirt 1,0.9,13.397793110131712,0.44999999999999996,6.02900689955927,0.00195,-5.199390285284611,2.2608775873347264,362.1913748298433,364.45225241717804,2.7130531048016717
20,Thrust Structure 1,0.45,10.312708466735243,0.22499999999999998,2.3203594050154295,0.0,-5.424390285284612,0,303.441236712912,303.441236712912,0
21,Gimballs 1, ,0.4845250100633651,1.1769261366177572,0.5702501481885562,0.0,-4.472464148666854,0,9.691922554043828,9.691922554043828,0
22,Engines 1,1.1769261366177572,62.72777622657303,0.1125,7.056874825489466,0.0,-5.536890285284612,0,1923.055097817657,1923.055097817657,0
23,Fuel 1,2.4200926572663772,346.5587320061522,4.8408775461685085,1677.6483841972117,0.0,-0.8085127391161029,0,226.5429649794101,226.5429649794101,0
24,Oxidizer 1,3.225869260383124,1230.2834986218402,1.5963824476200752,1964.0029827965227,0.0,-4.053007837664536,0,20209.71021029331,20209.71021029331,0
